timestamp,device_id,temperature,humidity,pressure,vibration
2026-09-13 15:52:11.399,sensor-03,31.61,57.56,1021.46,1.076
2026-09-13 15:52:12.399,sensor-05,31.42,71.44,1003.2,0.731
2026-09-13 15:52:13.399,sensor-01,33.9,65.75,1020.57,0.721
2026-09-13 15:52:14.399,sensor-03,20.96,73.11,1015.79,1.161
2026-09-13 15:52:15.399,sensor-03,34.56,75.72,1019.46,0.372
2026-09-13 15:52:16.399,sensor-01,22.31,67.32,1018.62,1.455
2026-09-13 15:52:17.399,sensor-02,25.56,58.78,1004.74,0.282
2026-09-13 15:52:18.399,sensor-02,30.05,57.49,1020.82,1.08
2026-09-13 15:52:19.399,sensor-04,32.48,72.19,1009.69,0.504
2026-09-13 15:52:20.399,sensor-01,23.0,40.29,1019.67,1.031
2026-09-13 15:52:21.399,sensor-03,31.71,58.36,1014.22,0.296
2026-09-13 15:52:22.399,sensor-04,27.07,62.61,1019.12,0.989
2026-09-13 15:52:23.399,sensor-02,28.39,52.16,1000.77,0.711
2026-09-13 15:52:24.399,sensor-03,32.8,49.36,1001.46,0.494
2026-09-13 15:52:25.399,sensor-03,29.93,62.28,1019.6,1.03
2026-09-13 15:52:26.399,sensor-05,22.5,40.91,1002.25,1.111
2026-09-13 15:52:27.399,sensor-01,22.42,60.04,1003.81,1.075
2026-09-13 15:52:28.399,sensor-02,24.52,65.21,1009.05,0.223
2026-09-13 15:52:29.399,sensor-02,34.43,76.34,1017.49,0.472
2026-09-13 15:52:30.399,sensor-04,30.75,57.97,1006.81,0.235
2026-09-13 15:52:31.399,sensor-03,26.84,48.09,1007.65,0.911
2026-09-13 15:52:32.399,sensor-05,31.38,68.78,1010.8,0.978
2026-09-13 15:52:33.399,sensor-01,29.75,43.38,1010.4,0.158
2026-09-13 15:52:34.399,sensor-02,22.17,44.14,1014.69,0.339
2026-09-13 15:52:35.399,sensor-03,28.72,53.87,1014.77,0.132
2026-09-13 15:52:36.399,sensor-03,31.74,43.31,1012.17,0.787
2026-09-13 15:52:37.399,sensor-05,28.58,58.94,1006.67,0.564
2026-09-13 15:52:38.399,sensor-03,20.32,73.05,1022.4,0.296
2026-09-13 15:52:39.399,sensor-05,21.63,66.89,1007.03,1.023
2026-09-13 15:52:40.399,sensor-04,21.62,76.64,1005.76,0.152
2026-09-13 15:52:41.399,sensor-04,25.56,73.19,1020.21,0.544
2026-09-13 15:52:42.399,sensor-05,27.73,11.53,1023.4,0.33
2026-09-13 15:52:43.399,sensor-05,33.38,69.94,1022.27,1.351
2026-09-13 15:52:44.399,sensor-04,24.74,70.88,1016.54,0.623
2026-09-13 15:52:45.399,sensor-04,23.94,77.47,1006.02,0.272
2026-09-13 15:52:46.399,sensor-02,22.3,47.17,1014.98,1.324
2026-09-13 15:52:47.399,sensor-02,31.66,8.44,1012.52,0.301
2026-09-13 15:52:48.399,sensor-01,30.16,44.87,1012.66,1.072
2026-09-13 15:52:49.399,sensor-03,23.0,72.16,1017.89,1.135
2026-09-13 15:52:50.399,sensor-01,33.91,55.9,1007.52,0.784
